no	sub_topic	title	content	detail_content
33	Security Vulnerability and Exploits	Categorizing Software Vulnerabilities	Most software security vulnerabilities fall into several main categories.	[     {         "title": "Buffer overflow",         "content": "Buffers are memory areas allocated to an application. A vulnerability occurs when data is written beyond the limits of a buffer. By changing data beyond the boundaries of a buffer, the application can access memory allocated to other processes. This can lead to a system crash or data compromise, or provide escalation of privileges."     },     {         "title": "Non-validated input",         "content": "Programs often require data input, but this incoming data could have malicious content, designed to force the program to behave in an unintended way. For example, consider a program that receives an image for processing. A malicious user could craft an image file with invalid image dimensions. The maliciously crafted dimensions could force the program to allocate buffers of incorrect and unexpected sizes."     },     {         "title": "Race conditions",         "content": "This vulnerability describes a situation where the output of an event depends on ordered or timed outputs. A race condition becomes a source of vulnerability when the required ordered or timed events do not occur in the correct order or at the proper time."     },     {         "title": "Weaknesses in security practices",         "content": "Systems and sensitive data can be protected through techniques such as authentication, authorization and encryption. Developers should stick to using security techniques and libraries that have already been created, tested and verified and should not attempt to create their own security algorithms. These will only likely introduce new vulnerabilities."     },     {         "title": "Access control problems",         "content": "Access control is the process of controlling who does what and ranges from managing physical access to equipment to dictating who has access to a resource, such as a file, and what they can do with it, such as read or change the file. Many security vulnerabilities are created by the improper use of access controls."     } ]
34	Security Vulnerability and Exploits	Software Updates	The goal of software updates is to stay current and avoid exploitation of vulnerabilities. Microsoft, Apple and other operating system producers release patches and updates almost every day and applications such as web browsers, mobile apps and web servers are often updated by the companies or organizations responsible for them.  Despite the fact that organizations put a lot of effort into finding and patching software vulnerabilities, new vulnerabilities are discovered regularly. That’s why some organizations use third party security researchers who specialize in finding vulnerabilities in software, or actually invest in their own penetration testing teams dedicated to search, find and patch software vulnerabilities before they can get exploited.	
35	The Cybersecurity Landscape	Cryptocurrency	Cryptocurrency is digital money that can be used to buy goods and services, using strong encryption techniques to secure online transactions. Banks, governments and even companies like Microsoft and AT&T are very aware of its importance and are jumping on the cryptocurrency bandwagon!	[     {         "title": "Send",         "content": "Cryptocurrency owners keep their money in encrypted, virtual 'wallets.' When a transaction takes place between the owners of two digital wallets, the details are recorded in a decentralized, electronic ledger or blockchain system. This means it is carried out with a degree of anonymity and is self-managed, with no interference from third parties such as central banks or government entities."     },     {         "title": "Mining",         "content": "Approximately every ten minutes, special computers collect data about the latest cryptocurrency transactions, turning them into mathematical puzzles to maintain confidentiality. These transactions are then verified through a technical and highly complex process known as 'mining.' This step typically involves an army of ‘miners’ working on high-end PCs to solve mathematical puzzles and authenticate transactions."     },     {         "title": "Transaction",         "content": "Once verified, the ledger is updated and electronically copied and disseminated worldwide to anyone belonging to the blockchain network, effectively completing a transaction."     } ]
36	The Cybersecurity Landscape	Cryptojacking	Cryptojacking is an emerging threat that hides on a user’s computer, mobile phone, tablet, laptop or server, using that machine’s resources to 'mine’ cryptocurrencies without the user's consent or knowledge.  Many victims of cryptojacking didn’t even know they’d been hacked until it was too late!	
37	Protecting Your Devices and Network	Protecting Your Computing Devices	Your computing devices are the portal to your online life, storing a lot of your personal data. Therefore, it’s important to protect the security of your devices.	[     {         "title": "Turn the firewall on",         "content": "You should use at least one type of firewall (either a software firewall or a hardware firewall on a router) to protect your device from unauthorized access. The firewall should be turned on and constantly updated to prevent hackers from accessing your personal or organization data."     },     {         "title": "Install antivirus and antispyware",         "content": "Malicious software, such as viruses and spyware, are designed to gain unauthorized access to your computer and your data. Once installed, viruses can destroy your data and slow down your computer. They can even take over your computer and broadcast spam emails using your account. Spyware can monitor your online activities, collect your personal information or produce unwanted pop-up ads on your web browser while you are online. To prevent this, you should only ever download software from trusted websites. However, you should always use antivirus software to provide another layer of protection. This software, which often includes antispyware, is designed to scan your computer and incoming email for viruses and delete them. Keeping your software up to date will protect your computer from any new malicious software that emerges."     },     {         "title": "Manage your operating system and browser",         "content": "Hackers are always trying to take advantage of vulnerabilities that may exist in your operating system (such as Microsoft Windows or macOS) or web browser (such as Google Chrome or Apple Safari). Therefore, to protect your computer and your data, you should set the security settings on your computer and browser to medium level or higher. You should also regularly update your computer's operating system, including your web browser, and download and install the latest software patches and security updates from the vendors."     },     {         "title": "Set up password protection",         "content": "All of your computing devices, including PCs, laptops, tablets and smartphones, should be password protected to prevent unauthorized access. Any stored information, especially sensitive or confidential data, should be encrypted. You should only store necessary information on your mobile device, in case it is stolen or lost. Remember, if any one of your devices is compromised, the criminals may be able to access all of your data through your cloud storage service provider, such as iCloud or Google Drive."     } ]
38	Protecting Your Devices and Network	Wireless Network Security at Home	Wireless networks allow Wi-Fi enabled devices, such as laptops and tablets, to connect to the network by way of a preset network identifier, known as the service set identifier (SSID). Although a wireless router can be configured so that it doesn’t broadcast the SSID, this should not be considered adequate security for a wireless network.  Hackers will be aware of the preset SSID and default password. Therefore, these details should be changed to prevent intruders from entering your home wireless network. Furthermore, you should encrypt wireless communication by enabling wireless security and the WPA2 encryption feature on your wireless router. But be aware, even with WPA2 encryption enabled, a wireless network can still be vulnerable.  This vulnerability can be exploited by key reinstallation attacks (KRACKs) by intruders. In simple terms, attackers break the encryption between a wireless router and a wireless device, giving them access to network data. This flaw affects all modern, protected Wi-Fi networks.  To mitigate this situation, you should:  •        update all wireless capable devices such as routers, laptops and mobile devices, as soon as security updates become available •        use a wired connection for any devices with a wired network interface card (NIC) •        use a trusted virtual private network (VPN) service when accessing a wireless network.	
39	Protecting Your Devices and Network	Public Wi-Fi Risks	When you are away from home, you can access your online information and surf the Internet via public wireless networks or Wi-Fi hotspots. However, there are some risks involved, which mean that it is best not to access or send any personal information when using public Wi-Fi.  You should always verify that your device isn’t configured with file and media sharing and that it requires user authentication with encryption.  You should also use an encrypted VPN service to prevent others from intercepting your information (known as ‘eavesdropping’) over a public wireless network. This service gives you secure access to the Internet, by encrypting the connection between your device and the VPN server. Even if hackers intercept a data transmission in an encrypted VPN tunnel, they will not be able to decipher it.	
40	Protecting Your Devices and Network	A Strong Password	Here are a few simple tips to help you when choosing a strong password.  •        Do not use dictionary words or names in any languages •        Do not use common misspellings of dictionary words •        If possible, use special characters such as ! @ # $ % ^ & * ( ) •        Do not use computer names or account names •        Use a password with more than ten characters	
41	Protecting Your Devices and Network	Using a Passphrase	In order to prevent unauthorized access to your devices, you should consider using passphrases instead of passwords. A passphrase generally takes the form of a sentence (‘Acat th@tlov3sd0gs.’), making it easier for you to remember. And because it’s longer than a typical password, it’s less vulnerable to dictionary or brute-force attacks.  •        Choose a statement that is meaningful to you. •        Add special characters such as ! @ # $ % ^ & * ( ). •        The longer the better. •        Avoid common or famous statements, for example, lyrics from a popular song.	
42	Protecting Your Devices and Network	Password Guidelines	The United States National Institute of Standards and Technology (NIST) has published improved password requirements. NIST standards are intended for government applications but can serve as a standard for other sectors as well.  These guidelines aim to place responsibility for user verification on service providers and ensure a better experience for users overall. They state:  •        Passwords should be at least eight characters, but no more than 64 characters. •        Common, easily guessed passwords, such as ‘password’ or ‘abc123’ should not be used. •        There should be no composition rules, such as having to include lower and uppercase letters and numbers. •        Users should be able to see the password when typing, to help improve accuracy. •        All printing characters and spaces should be allowed. •        There should be no password hints. •        There should be no password expiration period. •        There should be no knowledge-based authentication, such as having to provide answers to secret questions or verify transaction history.	
43	Data Maintenance	What Is Encryption?	Encryption is the process of converting information into a form in which unauthorized parties cannot read it. Only a trusted, authorized person with the secret key or password can decrypt the data and access it in its original form.  Note that the encryption itself does not prevent someone from intercepting the data. It can only prevent an unauthorized person from viewing or accessing the content. In fact, some criminals may decide to simply encrypt your data and make it unusable until you pay a ransom.	
44	Data Maintenance	How Do You Encrypt Your Data?	Software programs are used to encrypt files, folders and even entire drives.  Encrypting File System (EFS) is a Windows feature that can encrypt data. It is directly linked to a specific user account and only the user that encrypts the data will be able to access it after it has been encrypted using EFS.	[     {         "title": "Step 1",         "content": "Select one or more files or folders."     },     {         "title": "Step 2",         "content": "Right click the selected data and go to 'Properties.'"     },     {         "title": "Step 3",         "content": "Find and click 'Advanced.'"     },     {         "title": "Step 4",         "content": "Select the 'Encrypt contents to secure data' check box."     },     {         "title": "Step 5",         "content": "Files and folders that have been encrypted with EFS are displayed in green as shown here."     } ]
45	Data Maintenance	Back Up Your Data	Having a backup may prevent the loss of irreplaceable data. To back up data properly, you will need an additional storage location for the data and you must copy the data to that location regularly.	[     {         "title": "Home network",         "content": "Storing your data locally means that you have total control of it."     },     {         "title": "Secondary location",         "content": "You could copy all of your data to a network attached storage device (NAS), a simple external hard drive or maybe even back up important folders on thumb drives, CDs, DVDs or tapes. In this scenario, you are the owner of the data and you are totally responsible for the cost and maintenance of the storage device equipment."     },     {         "title": "The cloud",         "content": "You could subscribe to a cloud storage service, like Amazon Web Services (AWS). The cost of this service will depend on the amount of storage space you need, so you may need to be more selective about what data you back up. You will have access to your backup data as long as you have access to your account. One of the benefits of using a cloud storage service is that your data is safe in the event of a storage device failure or if you experience an extreme situation such as a fire or theft."     } ]
46	Data Maintenance	How Do You Delete Your Data Permanently?	Have you ever had to delete data or get rid of a hard drive? If so, did you take any precautions to safeguard the data to keep it from falling into the wrong hands?	[     {         "title": "Data Obliteration",         "content": "To erase data so that it is no longer recoverable, it must be overwritten with ones and zeroes multiple times, using tools specifically designed to do just that. SDelete from Microsoft claims to have the ability to remove sensitive files completely. Shred for Linux and Secure Empty Trash for Mac OS X claim to provide a similar service."     },     {         "title": "Data Annihilation",         "content": "The only way to be certain that data or files are not recoverable is to physically destroy the hard drive or storage device. Many criminals have taken advantage of files thought to be impenetrable or irrecoverable!"     } ]
47	Who Owns Your Data?	Understand the Terms	The Terms of Service will include a number of sections, from user rights and responsibilities to disclaimers and account modification terms.	[     {         "title": "Data Use Policy",         "content": "The data use policy outlines how the service provider will collect, use and share your data."     },     {         "title": "Privacy Settings",         "content": "The privacy settings allow you to control who sees information about you and who can access your profile or account data."     },     {         "title": "Security Policy",         "content": "The security policy outlines what the company is doing to secure the data it obtains from you."     } ]
48	Who Owns Your Data?	The Data Use Policy	The data use policy of the company you used to set up the account states that for any content you publish: “you grant us a non-exclusive, transferable, sub-licensable, royalty-free, and worldwide license to host, use, distribute, modify, run, copy, publicly perform or display, translate, and create derivative works of your content (consistent with your privacy and application settings)”.	
49	Who Owns Your Data?	Before You Sign Up	What factors should you consider before you sign up to an online service?  •        Have you read the Terms of Service? •        What are your rights regarding your data? •        Can you request a copy of your data? •        What can the provider do with the data you upload? •        What happens to your data when you close your account?	
50	Safeguarding Your Online Privacy	Two Factor Authentication	Popular online services, such as Google, Facebook, Twitter, LinkedIn, Apple and Microsoft, use two factor authentication to add an extra layer of security for account logins.  Besides your username and password or personal identification number (PIN), two factor authentication requires a second token to verify your identity. This may be a:  •        physical object such as a credit card, mobile phone or fob •        biometric scan such as a fingerprint or facial and voice recognition •        verification code sent via SMS or email.	
51	Safeguarding Your Online Privacy	Open Authorization	Open authorization (OAuth) is an open standard protocol that allows you to use your credentials to access third-party applications without exposing your password.	[     {         "title": "Login",         "content": "You are looking forward to registering for Cisco's 'Cybersecurity Essentials,' the next course in this series, to help you develop your career. But you must be logged into the eLearning portal to do so."     },     {         "title": "Forgot Password",         "content": "You can't remember your login details, but that's OK. The portal gives you the option of logging in using your credentials from a social media website such as Facebook or via another account such as Google."     },     {         "title": "Get Started",         "content": "So instead of having to reset your login details, you log into the eLearning portal using your existing social media accounts and register for your next course with ease. You can't wait to get started!"     } ]
52	Safeguarding Your Online Privacy	Social Sharing	In order to safeguard your privacy on social media, it’s important to share as little personal information as possible. You should also check your social media settings so that only people you know can see your activities or engage in conversations with you.  The more information you share online, the easier it is for someone to create a profile about you and take advantage of you, both online and offline.	
53	Safeguarding Your Online Privacy	Email and Web Browser Privacy	These problems can be minimized by enabling the in-private browsing mode on your web browser. Many of the most commonly used web browsers have their own name for private browser mode:  •        Microsoft Internet Explorer: InPrivate •        Google Chrome: Incognito •        Mozilla Firefox: Private tab or private window •        Safari: Private browsing  When private mode is enabled, cookies — files saved to your device to indicate what websites you’ve visited — are disabled. Therefore, any temporary internet files are removed and your browsing history is deleted when you close the window or program. This may help to prevent others from gathering information about your online activities and trying to entice you to buy something with targeted ads.  Even with private browsing enabled and cookies disabled, companies are constantly developing new ways of fingerprinting users in order to track their online behavior. For example, some intermediary devices, like routers, can gather information about a user’s web surfing history.	
54	Cybersecurity Devices and Technologies	Security Appliances	Security appliances can be standalone devices like a router or software tools that are run on a network device. They fall into six general categories.	[     {         "title": "Routers",         "content": "While routers are primarily used to interconnect various network segments together, they usually also provide basic traffic filtering capabilities. This information can help you define which computers from a given network segment can communicate with which network segments."     },     {         "title": "Firewalls",         "content": "Firewalls can look deeper into the network traffic itself and identify malicious behavior that has to be blocked. Firewalls can have sophisticated security policies applied to the traffic that is passing through them."     },     {         "title": "Intrusion prevention systems",         "content": "IPS systems use a set of traffic signatures that match and block malicious traffic and attacks."     },     {         "title": "Virtual private networks",         "content": "VPN systems let remote employees use a secure encrypted tunnel from their mobile computer and securely connect back to the organization’s network. VPN systems can also securely interconnect branch offices with the central office network."     },     {         "title": "Antimalware or antivirus",         "content": "These systems use signatures or behavioral analysis of applications to identify and block malicious code from being executed."     },     {         "title": "Other security devices",         "content": "Other security devices include web and email security appliances, decryption devices, client access control servers and security management systems."     } ]
55	Cybersecurity Devices and Technologies	Firewalls	In computer networking, a firewall is designed to control or filter which communications are allowed in and which are allowed out of a device or network. A firewall can be installed on a single computer with the purpose of protecting that one computer (host-based firewall) or it can be a standalone network device that protects an entire network of computers and all of the host devices on that network (network-based firewall).  As computer and network attacks have become more sophisticated, new types of firewalls have been developed, which serve different purposes.	[     {         "title": "Network layer firewall",         "content": "This filters communications based on source and destination IP addresses."     },     {         "title": "Transport layer firewall",         "content": "Filters communications based on source and destination data ports, as well as connection states."     },     {         "title": "Application layer firewall",         "content": "Filters communications based on an application, program or service."     },     {         "title": "Context aware layer firewall",         "content": "Filters communications based on the user, device, role, application type and threat profile."     },     {         "title": "Proxy server",         "content": "Filters web content requests like URLs, domain names and media types."     },     {         "title": "Reverse proxy server",         "content": "Placed in front of web servers, reverse proxy servers protect, hide, offload and distribute access to web servers."     },     {         "title": "Network address translation (NAT) firewall",         "content": "This firewall hides or masquerades the private addresses of network hosts."     },     {         "title": "Host-based firewall",         "content": "Filters ports and system service calls on a single computer operating system."     } ]
56	Cybersecurity Devices and Technologies	Port Scanning	In networking, each application running on a device is assigned an identifier called a port number. This port number is used on both ends of the transmission so that the right data is passed to the correct application. Port scanning is a process of probing a computer, server or other network host for open ports. It can be used maliciously as a reconnaissance tool to identify the operating system and services running on a computer or host, or it can be used harmlessly by a network administrator to verify network security policies on the network.	
57	Cybersecurity Devices and Technologies	Intrusion Detection and Prevention Systems	Intrusion detection systems (IDSs) and intrusion prevention systems (IPSs) are security measures deployed on a network to detect and prevent malicious activities.	[     {         "title": "IDS",         "content": "An IDS can either be a dedicated network device or one of several tools in a server, firewall or even a host computer operating system, such as Windows or Linux, that scans data against a database of rules or attack signatures, looking for malicious traffic. If a match is detected, the IDS will log the detection and create an alert for a network administrator. It will not take action and therefore it will not prevent attacks from happening. The job of the IDS is to detect, log and report. The scanning performed by the IDS slows down the network (known as latency). To prevent network delay, an IDS is usually placed offline, separate from regular network traffic. Data is copied or mirrored by a switch and then forwarded to the IDS for offline detection."     },     {         "title": "IPS",         "content": "An IPS can block or deny traffic based on a positive rule or signature match. One of the most well-known IPS/IDS systems is Snort. The commercial version of Snort is Cisco's Sourcefire. Sourcefire can perform real-time traffic and port analysis, logging, content searching and matching, as well as detect probes, attacks and execute port scans. It also integrates with other third-party tools for reporting, performance and log analysis."     } ]
58	Cybersecurity Devices and Technologies	Real-Time Detection	Many organizations today are unable to detect attacks until days or even months after they occur.  Detecting attacks in real time requires actively scanning for attacks using firewall and IDS/IPS network devices. Next generation client and server malware detection with connections to online global threat centers must also be used. Today, active scanning devices and software must detect network anomalies using context-based analysis and behavior detection.  DDoS is one of the biggest attack threats requiring real-time detection and response. For many organizations, regularly occurring DDoS attacks cripple Internet servers and network availability. These attacks are extremely difficult to defend against because the attacks originate from hundreds, even thousands, of zombie hosts, and the attacks appear as legitimate traffic.	
59	Cybersecurity Devices and Technologies	Protecting Against Malware	One way of defending against zero-day attacks and advanced persistent threats (APTs) is to use an enterprise-level advanced malware detection solution, like Cisco’s Advanced Malware Protection (AMP) Threat Grid.  This is client/server software that can be deployed on host endpoints, as a standalone server or on other network security devices. It analyzes millions of files and correlates them against hundreds of millions of other analyzed malware artifacts for behaviors that reveal an APT. This approach provides a global view of malware attacks, campaigns and their distribution.	
60	Cybersecurity Devices and Technologies	Security Best Practices	Many national and professional organizations have published lists of security best practices. Some of the most helpful guidelines are found in organizational repositories such as the National Institute of Standards and Technology (NIST) Computer Security Resource Center.	[     {         "title": "Perform a risk assessment",         "content": "Knowing and understanding the value of what you are protecting will help to justify security expenditures."     },     {         "title": "Create a security policy",         "content": "Create a policy that clearly outlines the organization's rules, job roles, and responsibilities and expectations for employees."     },     {         "title": "Physical security measures",         "content": "Restrict access to networking closets and server locations, as well as fire suppression."     },     {         "title": "Human resources security measures",         "content": "Background checks should be completed for all employees."     },     {         "title": "Perform and test backups",         "content": "Back up information regularly and test data recovery from backups."     },     {         "title": "Maintain security patches and updates",         "content": "Regularly update server, client and network device operating systems and programs."     },     {         "title": "Employ access controls",         "content": "Configure user roles and privilege levels as well as strong user authentication."     },     {         "title": "Regularly test incident response",         "content": "Employ an incident response team and test emergency response scenarios."     },     {         "title": "Implement a network monitoring, analytics and management tool",         "content": "Choose a security monitoring solution that integrates with other technologies."     },     {         "title": "Implement network security devices",         "content": "Use next generation routers, firewalls and other security appliances."     },     {         "title": "Implement a comprehensive endpoint security solution",         "content": "Use enterprise level antimalware and antivirus software."     },     {         "title": "Educate users",         "content": "Provide training to employees in security procedures."     },     {         "title": "Encrypt data",         "content": "Encrypt all sensitive organizational data, including email."     } ]
61	Behavior Approach to Cybersecurity	Behavior-Based Security	Behavior-based security is a form of threat detection that involves capturing and analyzing the flow of communication between a user on the local network and a local or remote destination. Any changes in normal patterns of behavior are regarded as anomalies, and may indicate an attack.	[     {         "title": "Honeypots",         "content": "A honeypot is a behavior-based detection tool that lures the attacker in by appealing to their predicted pattern of malicious behavior. Once the attacker is inside the honeypot, the network administrator can capture, log and analyze their behavior so that they can build a better defense."     },     {         "title": "Cisco's Cyber Threat Defense Solution Architecture",         "content": "This security architecture uses behavior-based detection and indicators to provide greater visibility, context and control. The aim is to know who is carrying out the attack, what type of attack they are performing and where, when and how the attack is taking place. This security architecture uses many security technologies to achieve this goal."     } ]
62	Behavior Approach to Cybersecurity	NetFlow	NetFlow technology is used to gather information about data flowing through a network, including who and what devices are in the network, and when and how users and devices access the network.  NetFlow is an important component in behavior-based detection and analysis. Switches, routers and firewalls equipped with NetFlow can report information about data entering, leaving and traveling through the network.   This information is sent to NetFlow collectors that collect, store and analyze NetFlow data, which can be used to establish baseline behaviors on more than 90 attributes, such as source and destination IP address.	
63	Behavior Approach to Cybersecurity	Penetration Testing	Penetration testing, commonly known as pen testing, is the act of assessing a computer system, network or organization for security vulnerabilities. A pen test seeks to breach systems, people, processes and code to uncover vulnerabilities which could be exploited. This information is then used to improve the system’s defenses to ensure that it is better able to withstand cyber attacks in the future.	[     {         "title": "Planning",         "content": "The pen tester gathers as much information as possible about a target system or network, its potential vulnerabilities and exploits to use against it. This involves conducting passive or active reconnaissance (footprinting) and vulnerability research."     },     {         "title": "Scanning",         "content": "The pen tester carries out active reconnaissance to probe a target system or network and identify potential weaknesses which, if exploited, could give an attacker access."     },     {         "title": "Gaining Access",         "content": "The pen tester will attempt to gain access to a target system and sniff network traffic, using various methods to exploit the system."     },     {         "title": "Maintaining Access",         "content": "The pen tester will maintain access to the target to find out what data and systems are vulnerable to exploitation. It is important that they remain undetected, typically using backdoors, Trojan horses, rootkits and other covert channels to hide their presence. When this infrastructure is in place, the pen tester will then proceed to gather the data that they consider valuable."     },     {         "title": "Analysis and reporting",          "content": "The pen tester will provide feedback via a report that recommends updates to products, policies and training to improve an organization's security."     } ]
64	Behavior Approach to Cybersecurity	Impact Reduction	While most organizations today are aware of common security threats and put considerable effort into preventing them, no set of security practices is foolproof. Therefore, organizations must be prepared to contain the damage if a security breach occurs. And they must act fast!	[     {         "title": "Communicate the issue",         "content": "Communication creates transparency, which is critical in this type of situation. Internally, all employees should be informed and a clear call to action communicated. Externally, all clients should be informed through direct communication and official announcements."     },     {         "title": "Be sincere and accountable",         "content": "Respond to the breach in an honest and genuine way, taking responsibility where the organization is at fault."     },     {         "title": "Provide the details",         "content": "Be open and explain why the breach took place and what information was compromised. Organizations are generally expected to take care of any client costs associated with identity theft services required as a result of a security breach."     },     {         "title": "Find the cause",         "content": "Take steps to understand what caused and facilitated the breach. This may involve hiring forensics experts to research and find out the details."     },     {         "title": "Apply lessons learned",          "content": "Make sure that any lessons learned from forensic investigations are applied to prevent similar breaches from happening in the future."     },     {         "title": "Check, and check again",         "content": "Attackers will often attempt to leave a backdoor to facilitate future breaches. To prevent this from happening, make sure that all systems are clean, no backdoors are installed and nothing else has been compromised."     },     {         "title": "Educate",         "content": "Raise awareness, train and educate employees, partners and clients on how to prevent future breaches."     } ]
65	Behavior Approach to Cybersecurity	What Is Risk Management?	Risk management is the formal process of continuously identifying and assessing risk in an effort to reduce the impact of threats and vulnerabilities. You cannot eliminate risk completely but you can determine acceptable levels by weighing up the impact of a threat with the cost of implementing controls to mitigate it. The cost of a control should never be more than the value of the asset you are protecting.	[     {         "title": "Frame the risk",         "content": "Identify the threats that increase risk. Threats may include processes, products, attacks, potential failure or disruption of services, negative perception of an organization's reputation, potential legal liability or loss of intellectual property."     },     {         "title": "Assess the risk",         "content": "Determine the severity that each threat poses. For example, some threats may have the potential to bring an entire organization to a standstill, while other threats may be only minor inconveniences. Risk can be prioritized by assessing financial impact (a quantitative analysis) or scaled impact on an organization's operation (a qualitative analysis)."     },     {         "title": "Respond to the risk",         "content": "Develop an action plan to reduce overall organization risk exposure, detailing where risk can be eliminated, mitigated, transferred or accepted."     },     {         "title": "Monitor the risk",         "content": "Continuously review any risk reduced through elimination, mitigation or transfer actions. Remember, not all risks can be eliminated, so you will need to closely monitor any threats that have been accepted."     } ]
66	Cisco's Approach to Cybersecurity	Cisco's CSIRT	Many large organizations have a Computer Security Incident Response Team (CSIRT) to receive, review and respond to computer security incident reports. Cisco CSIRT goes a step further and provides proactive threat assessment, mitigation planning, incident trend analysis and security architecture review in an effort to prevent security incidents from happening.  Cisco’s CSIRT takes a proactive approach, collaborating with the Forum of Incident Response and Security Teams (FIRST), the National Safety Information Exchange (NSIE), the Defense Security Information Exchange (DSIE) and the DNS Operations Analysis and Research Center (DNS-OARC) to ensure we stay up-to-date with new developments.  There are several national and public CSIRT organizations, like the CERT Division of the Software Engineering Institute at Carnegie Mellon University, that are available to help organizations and national CSIRTs to develop, operate and improve their incident management capabilities.	
67	Cisco's Approach to Cybersecurity	Security Playbook	One of the best ways to prepare for a security breach is to prevent it. Organizations should provide guidance on:  •        how to identify the cybersecurity risk to systems, assets, data and capabilities •        the implementation of safeguards and personnel training •        a flexible response plan that minimizes the impact and damage in the event of a security breach •        security measures and processes that need to be put in place in the aftermath of a security breach.  A security playbook is a collection of repeatable queries or reports that outline a standardized process for incident detection and response. Ideally, a security playbook should:  •        highlight how to identify and automate the response to common threats such as the detection of malware-infected machines, suspicious network activity or irregular authentication attempts. •        describe and clearly define inbound and outbound traffic. •        provide summary information including trends, statistics and counts. •        provide usable and quick access to key statistics and metrics. •        correlate events across all relevant data sources.	
68	Cisco's Approach to Cybersecurity	Tools for Incident Detection and Prevention	There are a range of tools used to detect and prevent security incidents.	[     {         "title": "SIEM",         "content": "A Security Information and Event Management (SIEM) system collects and analyzes security alerts, logs and other real-time and historical data from security devices on the network to facilitate early detection of cyber attacks."     },     {         "title": "DLP",         "content": "A Data Loss Prevention (DLP) system is designed to stop sensitive data from being stolen from or escaping a network. It monitors and protects data in three different states: data in use (data being accessed by a user), data in motion (data traveling through the network) and data at rest (data stored in a computer network or device)."     } ]
69	Legal and Ethical Issues	Legal Issues in Cybersecurity	In order to protect against attacks, cybersecurity professionals must have the same skills as the attackers. However, cybersecurity professionals use their skills within the bounds of the law.	[     {         "title": "Personal legal issues",         "content": "At work or home, you may have the opportunity and skills to hack another person's computer or network. But there is an old saying, 'Just because you can does not mean you should.' Most hacks leave tracks, which can be traced back to you. Cybersecurity professionals develop many skills, which can be used positively or illegally. There is always a huge demand for those who choose to put their cyber skills to good use within legal bounds."     },     {         "title": "Corporate legal issues",         "content": "Most countries have cybersecurity laws in place, which businesses and organizations must abide by. In some cases, if you break cybersecurity laws while doing your job, the organization may be punished and you could lose your job. In other cases, you could be prosecuted, fined and possibly sentenced. In general, if you are unsure whether an action or behavior might be illegal, assume that it is illegal and do not do it. Always check with the legal or HR department in the organization."     },     {         "title": "International law and cybersecurity",         "content": "International cybersecurity law is a constantly evolving field. Cyber attacks take place in cyberspace, an electronic space created, maintained and owned by both the public and private entities. There are no traditional geographic boundaries in cyberspace. To further complicate issues, it is much easier to mask the source of a attack in cyberwarfare than in conventional warfare. The global society is still debating how best to deal with cyberspace. Country practice, opinio juris (a sense on behalf of a country that it is bound to the law in question) and any treaties drafted will shape international cybersecurity law."     } ]
70	Education and careers	Professional Certifications	Cybersecurity certifications are a great way for you to verify your skills and knowledge and can also boost your career.	[     {         "title": "Cisco Certified Support Technician (CCST) Cybersecurity",         "content": "This is an entry-level certification for newcomers who are preparing to start their career in the cybersecurity field. It is aimed at high school and early college students as well as those interested in a career change. This certificate does not expire or require periodic recertification."     },     {         "title": "CompTIA Security+",         "content": "This is an entry-level security certification that meets the U.S. Department of Defense Directive 8570.01-M requirements, which is an important item for anyone looking to work in IT security for the federal government."     },     {         "title": "EC Council Certified Ethical Hacker (CEH)",         "content": "This certification tests your understanding and knowledge of how to look for weaknesses and vulnerabilities in target systems using the same knowledge and tools as a malicious hacker but in a lawful and legitimate manner."     },     {         "title": "ISC2 Certified Information Systems Security Professional (CISSP)",         "content": "This is the most recognizable and popular security certification. In order to take the exam, you need to have at least five years of relevant industry experience."     },     {         "title": "Cisco Certified CyberOps Associate",         "content": "This certification validates the skills required of associate-level cybersecurity analysts within security operations centers."     } ]